week_start,age_group,model_rate
2025-12-01,0-18,41.149483204394194
2025-12-01,19-49,22.41927148448329
2025-12-01,50-64,22.706357857304084
2025-12-01,65+,24.160926847680116
2025-12-08,0-18,37.822602479306475
2025-12-08,19-49,17.412427555861143
2025-12-08,50-64,16.674972668764568
2025-12-08,65+,17.642481779452385
2025-12-15,0-18,35.73555406051342
2025-12-15,19-49,14.946598670605796
2025-12-15,50-64,13.66343850808761
2025-12-15,65+,14.187945003932786
2025-12-22,0-18,29.283212936293573
2025-12-22,19-49,12.31560685322452
2025-12-22,50-64,10.992693783748694
2025-12-22,65+,11.449238174372018
2025-12-29,0-18,26.495255037577536
2025-12-29,19-49,13.209841678364288
2025-12-29,50-64,12.20405328690028
2025-12-29,65+,13.667709282362008
2026-01-05,0-18,27.651968234971772
2026-01-05,19-49,13.968261160495429
2026-01-05,50-64,13.277466011142188
2026-01-05,65+,15.158197590143473
2026-01-12,0-18,28.471711317809252
2026-01-12,19-49,14.653501603019738
2026-01-12,50-64,14.146945909260582
2026-01-12,65+,16.394810681382197
2026-01-19,0-18,29.525780740675774
2026-01-19,19-49,15.381967700304044
2026-01-19,50-64,15.00152742354951
2026-01-19,65+,17.557563832705
2026-01-26,0-18,30.741796456176612
2026-01-26,19-49,16.146942917600573
2026-01-26,50-64,15.853540817408629
2026-01-26,65+,18.67616887232967
2026-02-02,0-18,32.092103963002494
2026-02-02,19-49,16.949522826176967
2026-02-02,50-64,16.715853409243795
2026-02-02,65+,19.777150656043514
2026-02-09,0-18,33.55843561566093
2026-02-09,19-49,17.79065388687026
2026-02-09,50-64,17.597633546268053
2026-02-09,65+,20.879941637230182
2026-02-16,0-18,25.57167973538049
2026-02-16,19-49,15.648849433200125
2026-02-16,50-64,15.349849168591383
2026-02-16,65+,20.181286462796933
2026-02-23,0-18,28.63937486422782
2026-02-23,19-49,15.437795387726553
2026-02-23,50-64,15.64076748887313
2026-02-23,65+,18.997366172079833
